"Hs_symbol","Brain_2_Hippocampus","dHs_Avg_TPM","Spinal_cord","dHs_Avg__TPM","FoldChange"
"TBL1Y",0,0,0,0,1
"TBL1YP1",0,0,0,0,1
"TBL2",16.82444,16.82444,13.06544,13.06544,1.26725079343412
"TBL3",50.39035,50.39035,26.81364,26.81364,1.84766718775392
"TBP",17.32233,17.32233,22.74815,22.74815,0.771526624179147
"TBPL1",19.85326,19.85326,23.92745,23.92745,0.83655809158177
"TBPL2",8.3811,8.3811,4.65515,4.65515,1.658859623529
"TBR1",5.78794,5.78794,0.34138,0.34138,5.06041539310263
"TBRG1",29.27163,29.27163,32.89637,32.89637,0.893064065562183
"TBRG4",26.76145,26.76145,20.42057,20.42057,1.29601826655406
"TBX1",1.30695,1.30695,0.62069,0.62069,1.42343693118363
"TBX10",0,0,0,0,1
"TBX15",0.74683,0.74683,0.68275,0.68275,1.0380805229535
"TBX18",0.6431,0.6431,1.79999,1.79999,0.58682352436973
"TBX19",2.24049,2.24049,2.42068,2.42068,0.947323339219103
"TBX2",8.67154,8.67154,15.70336,15.70336,0.579017634775279
"TBX20",0.33192,0.33192,0,0,1.33192
"TBX21",0.20745,0.20745,2.01723,2.01723,0.400184937840337
"TBX22",0,0,0.0931,0.0931,0.914829384319824
"TBX3",1.84633,1.84633,2.82412,2.82412,0.744309801993661
"TBX4",0.2282,0.2282,0.40345,0.40345,0.87512914603299
"TBX5",2.26124,2.26124,0.21724,0.21724,2.67920870165292
"TBX6",3.17403,3.17403,2.69998,2.69998,1.12812231417467
"TBXA2R",3.71341,3.71341,2.85516,2.85516,1.22262370433393
"TBXAS1",17.21861,17.21861,32.15154,32.15154,0.54955546559828
"TC2N",0.85056,0.85056,3.2586,3.2586,0.434546564598694
"TCAIM",12.94507,12.94507,20.04816,20.04816,0.662531546700519
"TCAM1P",0.14522,0.14522,0.18621,0.18621,0.965444567150842
"TCAP",39.60279,39.60279,25.82054,25.82054,1.51386922112679
"TCEA1",34.27125,34.27125,46.98594,46.98594,0.735033011753026
"TCEA1P1",0,0,0,0,1
"TCEA1P2",0,0,0,0,1
"TCEA1P4",0,0,0.37241,0.37241,0.728645229924002
"TCEA2",213.36549,213.36549,176.18176,176.18176,1.20986206480848
"TCEA3",5.24856,5.24856,12.72407,12.72407,0.455299339044467
"TCEAL1",29.68654,29.68654,24.02055,24.02055,1.22645345525978
"TCEAL2",145.92249,145.92249,92.32706,92.32706,1.57427534950742
"TCEAL3",218.96672,218.96672,204.79539,204.79539,1.06886126069199
"TCEAL4",222.09926,222.09926,270.89846,270.89846,0.820524176562089
"TCEAL4P1",0,0,0,0,1
"TCEAL5",104.5771,104.5771,56.1721,56.1721,1.84665422470051
"TCEAL6",60.88748,60.88748,37.92392,37.92392,1.58996010679294
"TCEAL7",110.63473,110.63473,70.54098,70.54098,1.56043053925177
"TCEAL8",36.80218,36.80218,52.72729,52.72729,0.703593648590874
"TCEANC",4.87515,4.87515,3.50688,3.50688,1.30359583570008
"TCEANC2",8.15291,8.15291,6.17583,6.17583,1.27551934758767
"TCEB1",67.48449,67.48449,66.16514,66.16514,1.01964337452434
