"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"HIP1",2846,2.41749,2400,2.18817,2030,1.81286,2.13950666667,"Hip1",2.834946,2.685209,3.893552,466,498,395,3.13790233333333,0.758719373673795
"HIP1R",757,4.63879,760,4.99876,454,2.92484,4.18746333333,"Hip1r",1.886915,2.772287,3.123854,184,180,146,2.594352,1.44322629874036
"HIPK1",1245,4.48029,1421,5.48873,1774,6.71164,5.56022,"Hipk1",6.252543,6.351882,5.421743,1170,1102,854,6.00872266666667,0.936007930689035
"HIPK2",2513,2.02847,3113,2.69709,3032,2.57302,2.43286,"Hipk2",4.541582,5.652422,5.25436,934,1025,893,5.14945466666667,0.558238118024991
"HIPK3",2835,4.93535,4091,7.64424,4802,8.7887,7.12276333333,"Hipk3",16.011195,20.476209,20.23336,3537,3190,2909,18.9069213333333,0.408037144333753
"HIPK4",63,1.00871,70,1.203,30,0.504993,0.905567666667,"Hipk4",0.126339,0.088599,0.028474,12,8,2,0.0811373333333333,1.76255837987927
"HIRA",2122,3.17518,1972,3.16716,2099,3.30197,3.21477,"Hira",3.019926,3.791058,5.379003,178,157,165,4.063329,0.832410850647864
"HIRIP3",250,11.6622,376,18.8264,271,13.2906,14.5930666667,"Hirip3",2.858196,2.944603,2.51328,58,57,46,2.77202633333333,4.13387004457109
"HIVEP1",640,0.715622,686,0.82332,703,0.826413,0.788451666667,"Hivep1",2.410253,3.051436,3.031217,411,410,299,2.83096866666667,0.46684058844656
"HIVEP2",1288,1.09639,1308,1.19508,1151,1.03006,1.10717666667,"Hivep2",1.555951,1.476535,1.748488,513,413,364,1.593658,0.81243427879466
