"Hs_symbol","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"ADAMTS15","Adamts15",1.37491,0.984475,0.552745,123,71,93,0.97071,1.43219,1.43219,0.810261533843984
"ADAMTS16","Adamts16",0.303483,0.168269,0.211008,23,23,27,0.227586666666667,3.16754,3.16754,0.294559060420936
"ADAMTS18","Adamts18",0.282192,0.177418,0.298096,23,19,20,0.252568666666667,0.07318,0.07318,1.16715617759059
"ADAMTS19","Adamts19",0.194895,0.091705,0.075239,14,10,9,0.120613,0.08363,0.08363,1.0341288078034
"ADAMTS2","Adamts2",2.38449,9.5115,1.519395,183,164,225,4.471795,7.24457,7.24457,0.663684703993052
"ADAMTS20","Adamts20",1.577421,0.670355,0.930797,140,89,77,1.05952433333333,0.01045,0.01045,2.03822488330282
"ADAMTS4","Adamts4",5.699625,2.281185,3.050056,376,274,376,3.67695533333333,2.04897,2.04897,1.53394599925002
"ADAMTS5","Adamts5",0.251188,0.214129,0.12924,42,63,37,0.198185666666667,0.43907,0.43907,0.832611107636645
"ADAMTS7","Adamts7",0,0.027061,0.079894,0,3,7,0.0356516666666667,2.4044,2.4044,0.304209748169036
"ADAMTS8","Adamts8",1.065953,0.548142,0.553996,53,51,53,0.722697,19.88338,19.88338,0.0824912921184215
"ADAMTSL1","Adamtsl1",1.938662,0.936835,0.857687,151,81,101,1.24439466666667,3.7216,3.7216,0.475346210324184
"ADAMTSL2","Adamtsl2",6.160742,7.833362,8.501026,67,114,117,7.49837666666667,11.72931,11.72931,0.667622727914291
"ADAMTSL4","Adamtsl4",4.354472,8.353508,5.544521,110,147,216,6.084167,19.39204,19.39204,0.347398641822986
"ADAP2","Adap2",1.978714,1.077312,1.125662,48,48,51,1.393896,12.90015,12.90015,0.172220875314295
"ADAR","Adar",44.154559,18.973492,18.319703,3062,2871,2715,27.1492513333333,37.63415,37.63415,0.728610603140831
"ADARB1","Adarb1",44.261493,26.110383,23.114212,4259,4277,4114,31.1620293333333,13.57966,13.57966,2.20595194492418
"ADARB2","Adarb2",5.902871,2.138354,3.292197,348,275,274,3.77780733333333,8.26906,8.26906,0.515457590449661
"ADAT1","Adat1",1.509519,1.346473,0.997993,63,98,81,1.28466166666667,29.59508,29.59508,0.0746741524018459
"ADAT2","Adat2",2.114458,1.637674,1.797428,41,58,65,1.84985333333333,3.40798,3.40798,0.646521384700777
"ADAT3","Adat3",1.125383,0.468138,0.877987,5,16,10,0.823836,3.73205,3.73205,0.38542196299701
"ADCK1","Adck1",11.74457,13.920957,13.356394,367,795,788,13.007307,7.49547,7.49547,1.64879718249844
"ADCK2","Adck2",22.03558,27.324204,24.517113,209,401,418,24.6256323333333,40.61352,40.61352,0.615800642034928
"ADCK5","Adck5",34.360221,31.261416,28.953374,90,182,213,31.5250036666667,14.31143,14.31143,2.12423030812058
"ADCY1","Adcy1",73.475865,16.564693,18.638468,13972,5664,6473,36.226342,3.07346,3.07346,9.13875231375784
"ADCY10","Adcy10",0.270517,0.081949,0.049085,7,4,5,0.133850333333333,0.11499,0.11499,1.01691524886621
"ADCY2","Adcy2",30.508851,22.13851,19.184526,1856,2399,2121,23.9439623333333,3.4707,3.4707,5.57943103615392
"ADCY3","Adcy3",17.107358,10.657919,9.003626,840,954,871,12.256301,163.3113,163.3113,0.0806779631102669
"ADCY4","Adcy4",0.968863,2.256381,3.309353,52,62,60,2.178199,11.96975,11.96975,0.245047051793597
"ADCY5","Adcy5",28.669659,14.846082,11.291118,2748,2228,2003,18.268953,16.97718,16.97718,1.07185626444192
"ADCY6","Adcy6",18.557001,6.27736,7.069085,601,406,424,10.634482,4.34884,4.34884,2.17514115210027
"ADCY7","Adcy7",1.379845,0.948447,1.147046,124,147,179,1.158446,8.76039,8.76039,0.221143417424918
"ADCY8","Adcy8",5.307575,2.838948,2.954949,565,543,575,3.70049066666667,1.08721,1.08721,2.2520449148225
"ADCY9","Adcy9",12.806736,3.568863,3.911956,875,440,491,6.76251833333333,6.63825,6.63825,1.01626921524346
"ADCYAP1","Adcyap1",43.795172,25.800562,22.787378,321,412,422,30.7943706666667,30.46275,30.46275,1.01054010430324
"ADCYAP1R1","Adcyap1r1",33.74949,17.422351,18.614593,2887,2708,2873,23.2621446666667,0.94085,0.94085,12.5007829902706
"ADD1","Add1",253.694691,174.468415,165.730906,5145,6497,5987,197.964670666667,327.90843,327.90843,0.604924205398647
"ADD2","Add2",38.882969,16.233037,14.787577,4692,3219,3236,23.3011943333333,16.43358,16.43358,1.39393023884557
"ADD3","Add3",29.537118,20.470542,20.002425,1687,2085,1913,23.336695,65.51478,65.51478,0.365884018559484
"ADGB","Adgb",0.351565,0.119097,0.199078,22,12,21,0.223246666666667,0,0,1.22324666666667
"ADH1C","Adh1",0.285241,0.549182,0.68209,5,17,18,0.505504333333333,5.18515,5.18515,0.243406276862054
"ADH4","Adh4",0,0,0,0,0,0,0,0.19862,0.19862,0.834292770018855
"ADH5","Adh5",34.543682,40.629671,40.552519,506,1139,1129,38.5752906666667,78.63446,78.63446,0.496961876387015
"ADH7","Adh7",0.039374,0.418506,0.415077,2,5,8,0.290985666666667,0.34498,0.34498,0.959854917297407
"ADHFE1","Adhfe1",10.146483,15.051984,14.42369,197,426,431,13.2073856666667,20.23881,20.23881,0.668935108260146
"ADI1","Adi1",20.267311,20.491944,21.571207,372,685,773,20.7768206666667,142.58116,142.58116,0.151669067631621
"ADIG","Adig",0,0,0,0,0,0,0,0.05227,0.05227,0.950326437131155
"ADIPOQ","Adipoq",0,0,0.033104,0,0,1,0.0110346666666667,0.90949,0.90949,0.529478900997998
"ADIPOR1","Adipor1",19.249456,22.279618,20.76383,884,1838,1726,20.7643013333333,57.29799,57.29799,0.373328502978119
"ADIPOR2","Adipor2",23.438313,19.767939,14.843038,1376,2160,1673,19.3497633333333,59.36787,59.36787,0.337095930887297
"ADK","Adk",56.705652,60.376516,55.663904,666,1354,1322,57.582024,61.78273,61.78273,0.933091377198793
"ADM","Adm",1.472719,1.50672,1.165264,17,38,29,1.38156766666667,18.608,18.608,0.121458979328165
"ADM2","Adm2",0.06019,0,0.031469,1,0,1,0.030553,0.07318,0.07318,0.960279729402337
"ADNP","Adnp",20.207349,3.567829,2.782489,1436,375,352,8.85255566666667,11.76067,11.76067,0.772103319548791
"ADNP2","Adnp2",5.170136,3.315508,2.893259,396,452,398,3.79296766666667,2.62394,2.62394,1.32258471902589
"ADO","Ado",14.29054,12.785446,12.317421,920,1503,1462,13.1311356666667,17.2908,17.2908,0.772581607511244
"ADORA1","Adora1",47.408391,27.936659,26.511368,3304,3483,3281,33.9521393333333,16.47539,16.47539,2.00007778557922
"ADORA2A","Adora2a",6.502209,9.171842,4.196263,183,459,188,6.623438,2.23714,2.23714,2.3549917519786
"ADORA2B","Adora2b",1.29334,2.563907,2.562096,33,118,118,2.139781,0.84677,0.84677,1.70014728417724
"ADORA3","Adora3",0.448499,0.477412,0.433475,10,20,22,0.453128666666667,65.88067,65.88067,0.0217271846509113
"ADPGK","Adpgk",5.807193,6.712856,5.905743,223,432,388,6.14193066666667,36.56785,36.56785,0.190107516577783
"ADPRH","Adprh",26.683697,34.371945,32.540055,763,1869,1846,31.1985656666667,5.79148,5.79148,4.74102340972316
"ADPRHL1","Adprhl1",0.498761,0.146616,0.289214,2,4,4,0.311530333333333,8.02862,8.02862,0.145263654172325
"ADPRM","Adprm",12.160991,10.413378,10.967549,116,229,211,11.1806393333333,9.60716,9.60716,1.14834124622739
"ADRA1A","Adra1a",2.620797,0.933185,0.773686,160,82,79,1.442556,0.19862,0.19862,2.03780681116617
"ADRA1B","Adra1b",6.359223,5.133998,4.918324,193,311,310,5.470515,0.6586,0.6586,3.90119076329434
"ADRA1D","Adra1d",8.659682,4.829933,4.16054,189,213,192,5.883385,1.64127,1.64127,2.60608911622061
"ADRA2A","Adra2a",5.112267,2.856024,3.347331,252,274,324,3.771874,2.19533,2.19533,1.49339004109122
"ADRA2B","Adra2b",0.220139,0.281649,0.31414,13,30,34,0.271976,0.44952,0.44952,0.877515315414758
"ADRA2C","Adra2c",3.923102,4.984747,3.927721,137,357,299,4.27852333333333,10.69437,10.69437,0.45137303961935
"ADRB1","Adrb1",6.765694,4.472971,3.578121,245,299,236,4.93892866666667,0.2718,0.2718,4.66970330764795
"ADRB2","Adrb2",0.694167,0.58929,0.548708,21,32,30,0.610721666666667,2.10124,2.10124,0.51937988245562
"ADRB3","Adrb3",0.486277,0.398212,0.480951,16,26,26,0.455146666666667,0.02091,0.02091,1.425342749769
"ADRM1","Adrm1",30.962133,37.057862,35.119415,572,1345,1251,34.3798033333333,160.39465,160.39465,0.219212987130201
"ADSL","Adsl",17.650191,23.588878,38.168756,228,505,604,26.469275,37.03828,37.03828,0.722148188614206
"ADTRP","Adtrp",0.234314,0.229955,0.807253,3,2,6,0.423840666666667,0.10454,0.10454,1.28908022042359
"AEBP1","Aebp1",6.758276,3.484979,4.486671,305,287,379,4.90997533333333,21.11694,21.11694,0.267214873908114
"AEBP2","Aebp2",22.832316,8.537368,7.13301,918,638,547,12.8342313333333,4.50564,4.50564,2.5127380891837
"AEN","Aen",9.5282,11.860819,14.729045,249,455,506,12.0393546666667,7.3073,7.3073,1.56962607184845
"AFAP1","Afap1",4.956789,1.515847,1.625117,274,146,181,2.699251,2.69711,2.69711,1.00057910097346
"AFAP1L1","Afap1l1",6.53758,4.847107,5.262005,298,419,464,5.54889733333333,8.57222,8.57222,0.684156583669549
"AFAP1L2","Afap1l2",2.241576,10.620168,2.048348,118,168,171,4.97003066666667,50.47158,50.47158,0.115986932335605
"AFF1","Aff1",3.365918,0.816005,0.843899,424,189,190,1.675274,14.17553,14.17553,0.176288669983849
"AFF2","Aff2",3.566507,0.840743,1.32994,208,98,116,1.91239666666667,2.19533,2.19533,0.911454111677563
"AFF3","Aff3",9.105746,3.723128,3.256042,738,434,497,5.36163866666667,9.60716,9.60716,0.599749477397029
"AFF4","Aff4",43.948923,12.871168,11.380485,3895,2426,2195,22.7335253333333,5.27923,5.27923,3.77968721217941
"AFG3L1P","Afg3l1",10.092773,9.068235,6.603585,301,442,368,8.58819766666667,9.68034,9.68034,0.897742737278651
"AFG3L2","Afg3l2",21.800312,16.782605,15.745274,993,1367,1299,18.109397,52.70872,52.70872,0.355796917148649
"AFM","Afm",0,0.039929,0.016053,0,2,1,0.0186606666666667,0,0,1.01866066666667
"AFMID","Afmid",2.006966,2.131569,3.24086,15,34,61,2.45979833333333,40.5508,40.5508,0.0832667080617782
"AFP","Afp",0,0.078832,0.077632,0,1,1,0.0521546666666667,0.02091,0.02091,1.03060472193109
"AFTPH","Aftph",72.188208,41.162176,44.907084,1323,1499,1308,52.7524893333333,11.4366,11.4366,4.32212094409512
"AGA","Aga",4.821519,5.055691,5.538842,74,141,150,5.138684,8.2377,8.2377,0.664525152364766
"AGAP1","Agap1",24.856339,10.955201,9.047835,2133,1270,1393,14.953125,13.62147,13.62147,1.0910753159566
"AGAP2","Agap2",135.656189,73.452508,67.2393,9100,9569,9190,92.115999,3.59615,3.59615,20.2595648531923
"AGAP3","Agap3",156.669064,128.506526,129.502142,2325,3672,3677,138.225910666667,109.69309,109.69309,1.25776514746012
"AGBL1","Agbl1",0.058622,0.074482,0,3,5,0,0.044368,0.01045,0.01045,1.03356722252462
"AGBL2","Agbl2",0.499955,0.379418,0.312879,28,28,30,0.397417333333333,0.45997,0.45997,0.957154827382298
"AGBL3","Agbl3",6.784083,6.182012,7.516724,80,132,152,6.82760633333333,0.82586,0.82586,4.28707914809095
"AGBL4","Agbl4",5.013033,4.084514,4.151939,133,196,207,4.41649533333333,1.2022,1.2022,2.45958374958375
"AGBL5","Agbl5",4.189095,4.766971,5.182703,104,151,163,4.712923,9.77442,9.77442,0.530230211927881
"AGER","Ager",0.125757,0.200953,0.329448,3,6,11,0.218719333333333,6.82642,6.82642,0.155718621455702
"AGFG1","Agfg1",18.638075,11.103742,9.913344,1573,1406,1273,13.218387,41.04213,41.04213,0.338193783236006
"AGFG2","Agfg2",22.672683,21.468917,19.756163,446,776,753,21.2992543333333,24.98489,24.98489,0.858162352556941
"AGGF1","Aggf1",18.345202,11.153594,10.220517,831,907,845,13.239771,12.76425,12.76425,1.03454754163867
"AGK","Agk",18.177968,15.875113,11.550907,475,757,652,15.2013293333333,12.22064,12.22064,1.22545726480211
"AGMAT","Agmat",0.3862,0.728524,0.512814,7,25,18,0.542512666666667,1.69354,1.69354,0.572671156421166
"AGMO","Agmo",3.9206,3.245419,3.64135,82,163,155,3.60245633333333,1.18129,1.18129,2.10996994133441
"AGPAT1","Agpat1",43.115412,35.605705,32.64613,1137,1642,1519,37.1224156666667,93.93902,93.93902,0.401546336444874
"AGPAT2","Agpat2",2.470116,0.98033,1.086903,20,26,34,1.51244966666667,52.19647,52.19647,0.0472296313395732
"AGPAT3","Agpat3",67.885278,56.179387,63.720075,3825,4799,4697,62.5949133333333,33.04487,33.04487,1.86797345189843
"AGPAT4","Agpat4",43.200797,33.403564,37.79349,553,848,852,38.132617,16.96673,16.96673,2.17806005878644
"AGPAT5","Agpat5",15.13271,16.130411,15.541167,843,1310,1255,15.6014293333333,13.93509,13.93509,1.11157209855001
"AGPS","Agps",8.133218,8.561675,11.835603,638,780,773,9.51016533333333,7.22367,7.22367,1.27803831298354
"AGR2","Agr2",0,0,0,0,0,0,0,0.1359,0.1359,0.880359186548112
"AGR3","Agr3",0,0,0,0,0,0,0,0,0,1
"AGRN","Agrn",24.511307,10.078522,12.245765,1869,1421,1514,15.6118646666667,38.97225,38.97225,0.41558492871096
"AGRP","Agrp",0.292798,0.330654,0.732413,2,4,9,0.451955,0.42861,0.42861,1.01634105879141
"AGT","Agt",24.636142,38.630912,43.058485,645,1866,2110,35.4418463333333,56.07488,56.07488,0.638491860750882
"AGTPBP1","Agtpbp1",329.171694,144.485496,160.080693,3030,2568,2452,211.245961,29.5219,29.5219,6.95389084558956
"AGTR1","Agtr1a",0.319277,0.164019,0.177383,8,9,4,0.220226333333333,1.21266,1.21266,0.551474846263472
"AGTR2","Agtr2",1.918311,1.073092,0.53215,11,37,27,1.17451766666667,0.01045,0.01045,2.15202896399294
"AGTRAP","Agtrap",3.541017,8.409958,2.543255,151,256,229,4.83141,56.72303,56.72303,0.10102397604561
"AGXT","Agxt",0,0,0,0,0,0,0,0.04182,0.04182,0.959858708798065
"AGXT2","Agxt2",0,0,0,0,0,0,0,0,0,1
"AHCTF1","Ahctf1",17.691296,7.152206,7.889562,790,609,533,10.9110213333333,4.31747,4.31747,2.23997903765011
"AHCY","Ahcy",11.940204,17.740642,21.048502,245,588,637,16.9097826666667,105.30244,105.30244,0.16847950683603
"AHCYL1","Ahcyl1",138.162235,108.242731,87.083386,5679,7420,6913,111.162784,29.04102,29.04102,3.73365431666435
"AHCYL2","Ahcyl2",269.314121,132.143313,140.12238,2753,2688,2764,180.526604666667,10.31803,10.31803,16.0387103291533
"AHDC1","Ahdc1",17.72598,4.463136,4.968801,911,434,599,9.052639,5.9901,5.9901,1.43812520564799
"AHI1","Ahi1",56.553012,44.270584,41.192026,3148,4134,4056,47.3385406666667,9.23082,9.23082,4.72479631805336
"AHR","Ahr",1.730506,0.676089,0.434307,142,98,62,0.946967333333333,11.66659,11.66659,0.153708877711628
"AHRR","Ahrr",0.720399,1.827892,1.00315,10,20,20,1.18381366666667,3.64842,3.64842,0.469796977611031
"AHSA1","Ahsa1",77.647894,78.831428,78.188863,1209,2187,2237,78.2227283333333,306.99012,306.99012,0.257224901673253
"AHSG","Ahsg",0,0,0,0,0,0,0,0.44952,0.44952,0.689883547657156
"AICDA","Aicda",0.028862,0.034002,0,1,1,0,0.0209546666666667,0.01045,0.01045,1.01039602817227
"AIDA","Aida",31.991439,28.59095,31.176697,688,1090,1064,30.586362,37.92686,37.92686,0.811428458396079
"AIF1","Aif1",7.304654,8.084613,8.397708,36,76,85,7.92899166666667,166.1025,166.1025,0.0534342195159658
"AIF1L","Aif1l",34.542793,40.149207,55.149777,110,274,331,43.2805923333333,77.58907,77.58907,0.563444666457223
"AIFM1","Aifm1",10.879339,6.708452,7.016053,259,336,324,8.20128133333333,22.40277,22.40277,0.393170609006256
"AIFM2","Aifm2",4.119718,2.559799,3.431569,92,140,150,3.370362,8.36314,8.36314,0.466762432260972
"AIFM3","Aifm3",28.629909,23.222468,22.374908,667,1104,1112,24.7424283333333,24.97444,24.97444,0.991067693214304
"AIG1","Aig1",27.451352,33.621267,32.341096,439,914,903,31.137905,60.93596,60.93596,0.518889268851246
"AIM2","Aim2",1.590907,1.358786,2.430723,39,31,49,1.793472,15.34637,15.34637,0.170892497845087
"AIMP1","Aimp1",65.5153,103.599464,100.624808,373,770,847,89.9131906666667,20.61515,20.61515,4.20599397490495
"AIMP2","Aimp2",13.737881,18.489672,18.690802,153,425,475,16.972785,15.1582,15.1582,1.11230118453788
"AIP","Aip",68.11778,107.33468,109.777164,524,1431,1590,95.0765413333333,168.03648,168.03648,0.568377555740236
"AIPL1","Aipl1",0,0,0.033089,0,0,2,0.0110296666666667,0.05227,0.05227,0.960808220957232
"AIRE","Aire",0.023436,0,0.088063,1,0,3,0.0371663333333333,0.20908,0.20908,0.857814481534169
"AJAP1","Ajap1",21.119505,16.864998,14.499878,433,554,524,17.4947936666667,1.17084,1.17084,8.51964846173217
"AJUBA","Ajuba",0.884013,0.77143,0.636819,33,52,44,0.764087333333333,2.85392,2.85392,0.457738441206183
"AK1","Ak1",76.573928,113.763488,101.222765,926,2275,2214,97.186727,193.75315,193.75315,0.504159891637183
"AK2","Ak2",11.653287,16.837719,18.646921,120,303,277,15.7126423333333,95.12031,95.12031,0.17387212269013
"AK3","Ak3",33.010303,33.454311,32.082783,1352,2416,2338,32.8491323333333,26.61571,26.61571,1.22572015469938
"AK4","Ak4",22.250708,20.701807,18.647676,707,1016,947,20.533397,7.60001,7.60001,2.50388046060411
"AK5","Ak5",84.513262,63.327181,57.311635,2157,2779,2386,68.384026,84.72911,84.72911,0.809340327923619
"AK7","Ak7",0.544859,0.755696,0.878624,25,61,72,0.726393,1.94443,1.94443,0.586325027254851
"AK8","Ak8",0.863153,2.322998,1.373442,18,55,44,1.51986433333333,2.74938,2.74938,0.672074938612073
"AKAP1","Akap1",10.356696,7.534214,6.260469,498,668,604,8.05045966666667,14.4996,14.4996,0.583915692447977
"AKAP10","Akap10",6.775427,3.815756,3.665501,390,385,372,4.752228,9.10537,9.10537,0.569224877466139
"AKAP12","Akap12",5.909893,1.848971,2.745559,555,312,431,3.50147433333333,147.83948,147.83948,0.0302438192698156
"AKAP13","Akap13",3.725956,1.208087,1.420935,477,215,246,2.118326,23.04046,23.04046,0.12971157789826
"AKAP3","Akap3",0.117819,0.07946,0.026067,5,6,2,0.0744486666666667,1.22311,1.22311,0.483308818127158
"AKAP4","Akap4",0,0,0,0,0,0,0,0.01045,0.01045,0.989658073135732
"AKAP5","Akap5",13.026879,2.181316,2.006899,1353,373,303,5.73836466666667,0.89904,0.89904,3.54830054483669
"AKAP7","Akap7",21.382734,18.060142,17.944176,358,513,477,19.1290173333333,5.36287,5.36287,3.16351227250177
"AKAP8","Akap8",27.923842,13.602911,12.024912,704,543,568,17.850555,8.96947,8.96947,1.89082819848999
"AKAP8L","Akap8l",83.654003,60.283041,50.996625,851,1074,1057,64.9778896666667,42.77748,42.77748,1.50711940629444
"AKAP9","Akap9",13.821355,3.007416,3.111023,1439,354,369,6.646598,11.86521,11.86521,0.594362470569855
"AKIP1","Akip1",2.27115,3.728828,2.175458,15,46,42,2.72514533333333,29.28146,29.28146,0.123017362218775
"AKIRIN1","Akirin1",20.536586,22.491827,19.881167,808,1451,1234,20.96986,63.4449,63.4449,0.3409092108142
"AKIRIN2","Akirin2",34.843798,31.178833,27.031515,607,969,847,31.0180486666667,44.2933,44.2933,0.70690474455751
"AKNA","Akna",0.660719,0.23694,0.310824,54,36,48,0.402827666666667,6.60688,6.60688,0.184415643031922
"AKR1A1","Akr1a1",209.1607,300.301611,306.104594,2801,7599,7741,271.855635,153.80868,153.80868,1.76253447158131
"AKR1B15","Akr1b8",0.520141,0.508385,0.801812,8,16,20,0.610112666666667,0.14636,0.14636,1.40454365702455
"AKR1C2","Akr1c21",0,0,0.07476,0,0,2,0.02492,42.64158,42.64158,0.0234849425708235
"AKR1C3","Akr1c18",0.656984,0.681187,1.19493,10,18,32,0.844367,14.7714,14.7714,0.116943771637267
"AKR1C4","Akr1c6",0,0,0,0,0,0,0,0.04182,0.04182,0.959858708798065
"AKR1D1","Akr1d1",0.155068,0.015046,0,6,1,0,0.0567046666666667,0.02091,0.02091,1.03506153007284
"AKT1","Akt1",83.958424,79.399325,78.231383,1666,3307,3280,80.5297106666667,67.75192,67.75192,1.18585358294964
"AKT1S1","Akt1s1",34.010989,61.147788,49.544858,257,609,641,48.234545,68.33734,68.33734,0.7100725958048
"AKT2","Akt2",34.302723,32.858271,27.294217,1075,2045,1807,31.4850703333333,28.93648,28.93648,1.08513326661429
"AKT3","Akt3",47.803827,20.398382,24.561359,2441,2580,2446,30.9211893333333,25.77939,25.77939,1.19200584230385
"AKTIP","Aktip",51.227966,57.046642,60.644859,1277,2500,2588,56.306489,54.04682,54.04682,1.04104994620943
"ALAD","Alad",10.95258,13.556839,13.328189,167,384,382,12.612536,43.68697,43.68697,0.304619803043258
"ALAS1","Alas1",50.068718,45.604604,52.745632,563,994,1033,49.4729846666667,43.55107,43.55107,1.13292418491108
"ALAS2","Alas2",2.592223,3.081057,3.717027,61,151,188,3.13010233333333,0.05227,0.05227,3.92494543542373
"ALB","Alb",0,0,0.019558,0,0,1,0.00651933333333333,0.73178,0.73178,0.58120507993702
"ALCAM","Alcam",48.677782,24.717682,21.542692,2392,2305,1918,31.646052,75.49829,75.49829,0.426755317014276
"ALDH16A1","Aldh16a1",3.323192,7.893283,8.802586,66,126,151,6.67302033333333,17.80304,17.80304,0.408073393096719
"ALDH18A1","Aldh18a1",13.982354,11.926727,12.967723,323,408,429,12.9589346666667,10.48529,10.48529,1.21537502898635
"ALDH1A1","Aldh1a7",0.277699,0.340262,0.316219,8,17,16,0.311393333333333,54.9145,54.9145,0.02345354663519
"ALDH1A2","Aldh1a2",4.468115,3.73606,4.469738,145,215,261,4.22463766666667,0.96176,0.96176,2.66323998178506
"ALDH1A3","Aldh1a3",0.85542,0.264278,0.373443,14,14,16,0.497713666666667,5.16424,5.16424,0.24296809771629
"ALDH1B1","Aldh1b1",7.316005,2.972701,4.657777,109,148,159,4.982161,10.03577,10.03577,0.542070104759342
"ALDH1L1","Aldh1l1",34.44336,28.134243,31.388225,856,1228,1207,31.3219426666667,19.61157,19.61157,1.56814559330835
"ALDH1L2","Aldh1l2",1.295726,0.499244,0.595176,80,51,74,0.796715333333333,3.64842,3.64842,0.386521728529981
"ALDH2","Aldh2",64.213267,69.542368,70.273546,861,1684,1796,68.009727,176.086,176.086,0.389696119399614
"ALDH3A1","Aldh3a1",0.462092,0.910598,0.437137,11,39,19,0.603275666666667,0.73178,0.73178,0.925796386761983
"ALDH3A2","Aldh3a2",31.570977,28.602553,27.485908,660,1170,1067,29.2198126666667,42.05616,42.05616,0.701869666655518
"ALDH3B1","Aldh3b1",2.329792,2.259279,2.141484,44,94,107,2.24351833333333,24.43084,24.43084,0.127542713230602
"ALDH3B2","Aldh3b3",0,0.020534,0.138996,0,2,1,0.0531766666666667,0.02091,0.02091,1.03160578960601
"ALDH4A1","Aldh4a1",5.686843,5.32672,5.346358,287,492,502,5.453307,66.13156,66.13156,0.0961292572375795
"ALDH5A1","Aldh5a1",19.267165,10.252878,10.42851,1634,1537,1585,13.3161843333333,4.74608,4.74608,2.49146972080676
"ALDH6A1","Aldh6a1",21.885879,20.720701,18.263963,1049,1746,1511,20.290181,11.09162,11.09162,1.76073851146496
