"Hs_symbol","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg__TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"RHOF",12.281439,3.287853,5.169457,6.91291633333333,409,44,75,3.103043,4.849568,2.922676,3.62509566666667,59,61,38,1.71086544011666
"RHOG",7.639185,5.825882,4.46076,5.97527566666667,146,77,58,5.646519,8.476014,7.062337,7.06162333333333,99,112,107,0.865244551655643
"RHOG2P",0.321299,0,0.468445,0.263248,2,0,2,0.393168,0.464767,0.454999,0.437644666666667,2,2,2,0.87869278778669
"RHOH",0,0.247899,0.059893,0.102597333333333,0,3,3,0.019276,0.299103,0.041278,0.119885666666667,1,5,2,0.984562412174814
"RHOJ",15.736205,12.211227,12.803063,13.5834983333333,775,381,543,42.153641,37.214834,30.802616,36.723697,1585,1343,1328,0.386587198315513
"RHOQ",110.859763,116.276141,95.26467,107.466858,2765,2103,2285,61.054047,53.869306,63.034752,59.3193683333333,1501,1296,1423,1.79820944742983
"RHOQ.AS1",0.361225,0.264157,0.295315,0.306899,9,5,5,0.048337,0.480169,0.217661,0.248722333333333,1,8,4,1.04658895345563
"RHOT1",30.901983,31.66447,39.184829,33.917094,876,618,719,13.503946,16.756871,21.115783,17.1255333333333,406,371,417,1.92640367363903
"RHOT1P1",0.032351,3.32782,2.164239,1.84147,0,4,2,0,0,0,0,0,0,0,2.84147
"RHOT2",109.188044,87.326888,106.84874,101.121224,1236,695,757,111.594363,127.064662,107.521678,115.393567666667,984,816,841,0.87737858755614
"RHOU",15.134631,15.07435,13.146528,14.4518363333333,1036,788,617,3.407594,2.943571,3.725848,3.35900433333333,196,135,188,3.54480866540394
"RHOV",0.972684,0.761611,1.20935,0.981215,27,16,22,0.433991,0.325201,0.448263,0.402485,10,6,9,1.41264612455748
"RHOXF1",0.601177,0.794194,1.518653,0.971341333333333,6,6,10,0.849028,0.451335,1.247061,0.849141333333333,7,3,9,1.06608472689306
"RHOXF1.AS1",1.574957,0.714855,0.284621,0.858144333333333,17,8,5,0.64665,0.619383,0.218036,0.494689666666667,8,6,3,1.24316396558572
"RHOXF1P1",0.386751,0.203347,0.229288,0.273128666666667,10,4,4,0.280238,0.231578,0,0.170605333333333,6,4,0,1.08758146782178
"RHOXF2",0.032561,0.025633,0,0.019398,2,1,0,0,0,0,0,0,0,0,1.019398
"RHOXF2B",0.016525,0,0,0.00550833333333333,0,0,0,0.059423,0,0,0.0198076666666667,1,0,0,0.985978401809753
"RHPN1",9.426771,6.531944,9.522605,8.49377333333333,415,251,278,8.645119,7.764872,9.191094,8.533695,342,228,310,0.995812571446153
"RHPN1.AS1",0.650525,0.69971,0.625152,0.658462333333333,22,18,14,1.116559,0.617566,0.931268,0.888464333333333,31,14,23,0.878206860494938
"RHPN2",6.114809,2.557978,6.236472,4.969753,203,81,111,3.588969,3.183577,3.343494,3.37201333333333,79,82,77,1.36544711666021
"RIBC1",0.275631,0.170736,0.24453,0.230299,7,2,4,0.098085,0.144872,0.066239,0.103065333333333,2,2,1,1.11534554012515
"RIBC2",0.387442,0.680583,0.191065,0.419696666666667,7,4,3,0,0.519281,0.175463,0.231581333333333,0,3,1,1.152742923461
"RIC1",11.748615,7.107612,7.602432,8.819553,867,418,365,7.59104,12.255323,8.712031,9.51946466666667,618,733,503,0.933465086974958
"RIC3",17.238949,42.851838,34.482796,31.5245276666667,555,1270,1014,13.143219,8.836618,14.69882,12.226219,346,180,321,2.45909489829759
"RIC8A",120.092225,137.592613,123.886576,127.190471333333,1155,959,869,112.60488,179.258081,106.074497,132.645819333333,960,909,899,0.959180556285165
"RIC8B",14.504584,12.208979,12.770611,13.1613913333333,495,365,402,6.472914,9.733576,9.984864,8.73045133333333,254,230,244,1.45536839435403
"RICTOR",4.120276,2.648565,3.07946,3.282767,535,329,341,3.383399,3.280351,2.595391,3.08638033333333,386,358,310,1.04805883218082
"RIDA",15.800161,10.406841,14.334012,13.5136713333333,112,83,99,13.637489,8.170153,11.473687,11.0937763333333,100,74,89,1.20009424131073
"RIF1",9.656382,4.291353,4.755492,6.234409,1057,496,571,3.70836,5.137686,3.43778,4.09460866666667,473,534,448,1.4200126983911
"RIIAD1",4.382736,8.643098,3.170708,5.39884733333333,42,58,44,1.915488,0.890468,2.072181,1.62604566666667,48,18,46,2.43668547525894
"RILP",1.334766,1.497445,0.607364,1.146525,23,19,8,0.971727,1.074783,1.130245,1.05891833333333,12,9,12,1.04254985020452
"RILPL1",9.148482,5.056344,6.843413,7.01607966666667,345,166,165,8.185293,8.141689,6.204884,7.510622,266,224,211,0.941891164554913
"RILPL2",0.595384,0.396408,0.498938,0.49691,69,35,38,0.725122,0.79881,1.015055,0.846329,70,61,85,0.810749330157301
"RIMBP2",3.127406,3.159594,3.014429,3.10047633333333,226,152,159,2.225977,2.069104,2.50245,2.26584366666667,106,86,87,1.25556418244556
"RIMBP3",0.122885,0.192118,0.653152,0.322718333333333,14,16,48,0.26211,0.242853,0.331769,0.278910666666667,25,18,27,1.03425389107188
"RIMBP3B",0,0.384521,0,0.128173666666667,0,33,0,0,0.24192,0.224607,0.155509,0,18,18,0.976343469991724
"RIMBP3C",0.263391,0,0,0.087797,27,0,0,0.287068,0.001173,0.122869,0.137036666666667,25,0,9,0.956694741594378
"RIMKLA",7.651142,8.788687,6.998342,7.81272366666667,1298,1062,966,0.916682,0.769669,0.781958,0.822769666666667,131,71,117,4.83479828956264
"RIMKLB",39.919995,30.225668,36.788797,35.64482,1471,909,887,24.649334,23.379632,23.658245,23.895737,663,498,610,1.47193151984213
"RIMS1",31.167345,21.754274,17.596125,23.5059146666667,2449,1237,900,5.405224,9.70026,6.070275,7.05858633333333,327,445,352,3.04096942726803
"RIMS2",8.945828,9.00929,8.397637,8.78425166666667,713,484,410,2.775562,2.57945,3.992683,3.11589833333333,173,130,187,2.3771849725799
"RIMS3",31.974842,44.459106,45.946018,40.793322,4478,4719,4226,10.26132,9.692795,9.901622,9.95191233333333,1188,802,1010,3.81607528694304
"RIMS4",16.541787,16.992869,17.277798,16.9374846666667,1545,1229,1143,3.648677,3.186573,3.70504,3.51343,271,217,275,3.97424678496546
"RIN1",4.16901,3.68132,2.214348,3.35489266666667,44,29,37,8.981176,12.382028,21.638152,14.3337853333333,79,70,68,0.284006367116656
"RIN2",6.139872,9.852,8.04337,8.01174733333333,207,157,163,3.125212,3.726761,6.149534,4.33383566666667,113,99,105,1.68954349112243
"RIN3",2.743739,2.060362,1.720285,2.17479533333333,110,60,57,6.08466,5.671691,4.154545,5.303632,175,197,144,0.503645411618783
"RING1",20.55941,16.969192,18.09266,18.5404206666667,556,349,329,19.526354,19.692382,17.012378,18.7437046666667,441,349,340,0.989703857334171
"RINL",7.627526,18.494757,6.91345,11.011911,101,107,103,9.105021,9.903779,27.592334,15.5337113333333,25,21,39,0.726510264866122
"RINT1",11.521868,9.630156,18.93958,13.363868,407,276,342,16.439231,14.447595,17.45723,16.1146853333333,402,344,381,0.839271521517505
"RIOK1",23.2499,22.637625,34.482604,26.790043,304,312,355,13.50254,23.586631,27.377952,21.489041,218,165,227,1.23571489775842
"RIOK2",27.618502,26.51762,31.398865,28.5116623333333,445,384,407,39.427256,36.670816,41.025756,39.041276,580,482,499,0.737031016027894
"RIOK3",65.627918,50.470426,56.420315,57.5062196666667,1654,965,1063,31.56897,34.021342,37.366754,34.319022,877,702,805,1.65650735364832
"RIOK3P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RIOX1",3.942141,4.355838,5.291272,4.52975033333333,162,135,142,5.59792,5.5943,5.627618,5.60661266666667,193,151,166,0.837002350876935
"RIOX2",11.804995,12.349075,13.534895,12.5629883333333,393,393,405,10.313509,11.515701,13.199444,11.676218,385,252,353,1.06995543413133
"RIPK1",5.366565,5.297959,6.126852,5.59712533333333,332,289,296,8.482407,8.733563,7.675937,8.29730233333333,461,347,407,0.709574142779122
"RIPK2",5.213383,3.25135,4.468753,4.311162,190,96,103,4.37096,5.398745,5.371315,5.04700666666667,132,122,139,0.878312575588363
"RIPK3",0.156645,0,0,0.052215,1,0,0,0.079291,0.181785,0,0.0870253333333333,2,3,0,0.967976520633067
"RIPK4",0.376543,0.239485,0.337301,0.317776333333333,27,13,16,0.420385,0.714052,0.695415,0.609950666666667,25,34,36,0.818519697912068
"RIPOR1",52.830916,70.410135,74.988231,66.0764273333333,1199,982,890,48.377936,57.029887,59.12251,54.8434443333333,787,648,731,1.20115132821947
"RIPOR2",4.942452,1.017143,3.406282,3.121959,331,64,187,1.045114,1.429234,1.301151,1.25849966666667,81,88,66,1.8250872740148
"RIPOR3",0.425764,0.802853,1.039615,0.756077333333333,9,12,16,0.596433,0.32878,0.577182,0.500798333333333,10,9,11,1.17009547141022
"RIPOR3.AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RIPPLY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RIPPLY2",4.690872,5.104039,3.462977,4.419296,38,40,31,0.476741,0.063699,0.783252,0.441230666666667,3,3,7,3.7601864332612
"RIPPLY3",0.250891,0,0.150608,0.133833,9,0,3,0.039997,0.146449,0.117519,0.101321666666667,1,3,3,1.02952028850185
"RIT1",21.581324,16.856328,19.625145,19.3542656666667,596,422,458,13.347328,17.423691,18.518606,16.429875,405,429,464,1.1677803579582
"RIT2",2.136887,0,0.073646,0.736844333333333,34,0,1,0,0,0,0,0,0,0,1.73684433333333
"RITA1",7.789651,8.306618,7.604913,7.900394,209,155,162,4.657813,5.428886,3.797578,4.62809233333333,93,89,64,1.58142288236565
"RLBP1",2.853357,9.494629,6.67257,6.34018533333333,30,77,53,9.355702,7.241828,10.121993,8.90650766666667,98,41,96,0.740945808585151
"RLF",8.540509,5.03996,5.600337,6.393602,1004,453,462,3.981116,4.85623,4.04627,4.29453866666667,389,383,354,1.39645821203434
"RLIM",6.914972,6.850411,7.311178,7.02552033333333,1381,1048,1025,5.043539,5.887228,5.002776,5.311181,837,780,745,1.27163526657425
"RLIMP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RLIMP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RLN1",0.106753,0.278986,0,0.128579666666667,1,2,0,0,0,0,0,0,0,0,1.12857966666667
"RLN1.1",0.101959,0,0,0.0339863333333333,1,0,0,0,0.203434,0,0.0678113333333333,0,2,0,0.968323055820722
"RLN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RMC1",19.849698,31.522114,39.999406,30.4570726666667,254,272,295,20.913761,24.808259,20.84896,22.1903266666667,191,162,170,1.35647389184398
"RMDN1",110.046296,79.46778,89.503371,93.0058156666667,894,655,665,41.980705,50.59917,38.586699,43.7221913333333,462,339,434,2.10199484560141
"RMDN2",3.894723,3.85698,3.260955,3.670886,58,35,44,2.140529,4.491645,3.525021,3.38573166666667,35,47,42,1.06501864569158
"RMDN3",24.505518,26.553607,21.578054,24.212393,469,418,388,25.989997,24.060535,22.557031,24.202521,455,331,388,1.00039170684552
"RMI1",4.635971,2.719632,4.292683,3.882762,262,119,172,2.365417,3.063747,2.794294,2.74115266666667,113,120,117,1.30514909041402
"RMI2",4.330872,2.488245,3.537575,3.45223066666667,83,38,51,0.92217,1.908197,2.020383,1.61691666666667,16,24,31,1.70132687959749
"RMND1",22.439928,24.391672,28.133005,24.9882016666667,444,400,397,14.842797,14.527851,15.498485,14.9563776666667,267,209,247,1.62870309349451
"RMND5A",16.872543,13.523037,13.002455,14.4660116666667,1174,682,719,10.236088,9.568159,8.147015,9.31708733333333,667,496,546,1.49906763090952
"RMND5B",22.529747,20.460215,26.414533,23.1348316666667,781,530,599,12.326197,9.253807,9.867091,10.482365,347,262,310,2.10190423894961
"RMRP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RMRPP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RMST",9.218792,3.567452,5.800115,6.195453,132,38,61,0.926102,0.349602,1.185535,0.820413,10,6,11,3.95264865720032
"RN7SK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SK.1",36.765342,26.071134,15.023516,25.9533306666667,59,32,16,70.419564,75.677168,31.718744,59.2718253333333,92,80,37,0.447196190219912
"RN7SKP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP11",0,0,0,0,0,0,0,1.47594,0,0,0.49198,1,0,0,0.67025027145136
"RN7SKP110",1.282316,0,0,0.427438666666667,1,0,0,0,0,0,0,0,0,0,1.42743866666667
"RN7SKP111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP153",0.752261,0,0,0.250753666666667,1,0,0,0,1.122897,0,0.374299,0,1,0,0.910103017368613
"RN7SKP154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP16",1.948624,2.566663,4.383037,2.966108,2,2,3,8.269761,2.918374,5.343487,5.51054066666667,7,2,4,0.609182586064793
"RN7SKP160",1.107725,1.456346,2.456428,1.67349966666667,2,2,3,1.996792,1.653496,0.754037,1.46810833333333,3,2,1,1.08321811913983
"RN7SKP161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP167",1.280509,0,0,0.426836333333333,1,0,0,0,1.909518,0,0.636506,0,1,0,0.871879683504572
"RN7SKP168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP17",0,0,0,0,0,0,0,0.588858,0,0.665504,0.418120666666667,1,0,1,0.705158611326446
"RN7SKP171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP172",0,0,0,0,0,0,0,0,1.501255,0,0.500418333333333,0,1,0,0.666480792578959
"RN7SKP174",0,0,0,0,0,0,0,0.74777,0,0,0.249256666666667,1,0,0,0.800476016404422
"RN7SKP175",0.703487,0,4.869887,1.85779133333333,1,0,3,0,1.51351,0,0.504503333333333,0,1,0,1.89949152655029
"RN7SKP177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP181",0,0.211959,4.26484,1.49226633333333,0,0,4,4.137912,8.095463,4.707844,5.647073,5,7,5,0.374941923058966
"RN7SKP182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP192",0,0,0,0,0,0,0,0,0.964539,0,0.321513,0,1,0,0.756708409224881
"RN7SKP193",3.666541,0,0,1.22218033333333,4,0,0,4.187772,3.857951,2.58497,3.54356433333333,4,3,2,0.489083056892265
"RN7SKP194",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP195",0,0,1.354757,0.451585666666667,0,0,1,0,1.361683,0,0.453894333333333,0,1,0,0.998412080841272
"RN7SKP196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP209",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP213",2.974776,2.52816,0.680309,2.06108166666667,3,2,0,0,4.426314,1.357013,1.92777566666667,0,3,1,1.04553149393163
"RN7SKP216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP222",0.763659,0,0,0.254553,1,0,0,0,0,0,0,0,0,0,1.254553
"RN7SKP223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP225",0,0,0.723414,0.241138,0,0,1,0,0,0,0,0,0,0,1.241138
"RN7SKP226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP23",0.387682,0.296427,0.143351,0.27582,31,18,8,0.194022,0.263191,0.220778,0.225997,13,14,13,1.0406387617588
"RN7SKP231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP234",0,0,0,0,0,0,0,0,11.574473,0,3.85815766666667,0,2,0,0.205839346643958
"RN7SKP235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP239",1.057691,5.581361,3.170708,3.26992,1,4,2,0,1.577391,2.893696,1.49036233333333,0,1,2,1.71457781176956
"RN7SKP24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP241",0,0,2.866951,0.955650333333333,0,0,2,0,0,0,0,0,0,0,1.95565033333333
"RN7SKP242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP247",0,0,1.262909,0.420969666666667,0,0,1,1.026599,0,1.163006,0.729868333333333,1,0,1,0.82143226700298
"RN7SKP248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP253",0,0,0,0,0,0,0,1.009489,0,0,0.336496333333333,1,0,0,0.748225023188741
"RN7SKP254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP259",0,0,0,0,0,0,0,0,0,0.816873,0.272291,0,0,1,0.785983709701633
"RN7SKP26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP272",3.360098,0,0,1.12003266666667,1,0,0,0,5.015605,0,1.67186833333333,0,1,0,0.793464498312978
"RN7SKP273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP275",4.754856,7.501557,1.40588,4.55409766666667,5,6,1,1.142818,0,1.294667,0.812495,1,0,1,3.0643382004732
"RN7SKP276",5.400158,0,0,1.80005266666667,3,0,0,0,0,0,0,0,0,0,2.80005266666667
"RN7SKP277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP287",5.600164,0,0,1.86672133333333,3,0,0,0,5.572894,2.541384,2.70475933333333,0,2,1,0.773794213173361
"RN7SKP288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP29",0,0,0,0,0,0,0,0,0,2.213463,0.737821,0,0,1,0.575433258085844
"RN7SKP290",11.200327,0,0,3.73344233333333,2,0,0,0,0,0,0,0,0,0,4.73344233333333
"RN7SKP292",0,0,1.095759,0.365253,0,0,1,0,0,0,0,0,0,0,1.365253
"RN7SKP293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP298",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP3",1.815522,0,1.367186,1.06090266666667,4,0,2,1.09914,2.023836,0,1.040992,2,3,0,1.00975538692296
"RN7SKP30",1.178859,0,0,0.392953,2,0,0,0,0.881663,0,0.293887666666667,0,1,0,1.07656409121554
"RN7SKP31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RN7SKP43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
