"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"SLC15A5","Slc15a5",0.827598,2.08295,0.900736,26,8,11,1.270428,0.01045,0.01045,2.24694739967341
"SLC16A1","Slc16a1",10.967,10.963467,11.187549,1989,493,795,11.0393386666667,10.62119,10.62119,1.03598157044732
"SLC16A10","Slc16a10",0.61903,0.846125,1.296192,66,12,30,0.920449,0.56451,0.56451,1.22750829333146
"SLC16A11","Slc16a11",0.695093,0.524365,1.9579,23,2,20,1.05911933333333,3.66933,3.66933,0.440988178889334
"SLC16A12","Slc16a12",15.097785,14.824591,9.704463,1020,286,445,13.2089463333333,2.09079,2.09079,4.59718917601433
"SLC16A13","Slc16a13",1.593351,2.932026,1.130734,67,15,37,1.88537033333333,0.59587,0.59587,1.80802341878307
"SLC16A14","Slc16a14",2.080971,0.804483,1.785654,110,26,50,1.557036,6.3769,6.3769,0.346627445132779
"SLC16A2","Slc16a2",7.164045,7.113513,7.013824,978,192,375,7.09712733333333,6.7846,6.7846,1.040146871173
"SLC16A3","Slc16a3",1.053596,1.85942,2.049162,63,12,31,1.65405933333333,156.98667,156.98667,0.0167992611866136
"SLC16A4","Slc16a4",1.608548,1.473352,1.506471,132,28,47,1.529457,6.11555,6.11555,0.355482991476414
"SLC16A5","Slc16a5",1.056834,0.69442,0.989136,94,15,35,0.913463333333333,2.84347,2.84347,0.497847864906799
"SLC16A6","Slc16a6",6.328335,5.064369,5.491195,770,196,315,5.62796633333333,2.89574,2.89574,1.70133693042486
"SLC16A7","Slc16a7",10.227299,9.739038,8.29709,1180,260,462,9.42114233333333,0.66905,0.66905,6.24375682773634
"SLC16A8","Slc16a8",0.140383,0.137257,0.114012,9,2,3,0.130550666666667,10.85118,10.85118,0.0953956202392223
"SLC16A9","Slc16a9",3.904437,2.980965,4.764999,503,112,237,3.883467,0.61678,0.61678,3.02048949145833
"SLC17A1","Slc17a1",0,0,0,0,0,0,0,0,0,1
"SLC17A2","Slc17a2",0.028249,0,0,5,0,0,0.00941633333333333,0,0,1.00941633333333
